query	no	token	pos
전주 여행	13	덕진구	NNP
전주 여행	13	대해서	VV+EC
전주 여행	14	뚜벅	MAG
전주 여행	14	엄마	NNG
전주 여행	14	뚜벅	MAG
전주 여행	14	계획	NNG
전주 여행	14	인데	VCP+EC
전주 여행	14	답변	NNG
전주 여행	14	부탁	NNG
전주 여행	14	드려요	VV+EC
전주 여행	14	기차	NNG
전주 여행	14	고속버스	NNG
전주 여행	14	어떤	MM
전주 여행	14	을까요	EC
전주 여행	14	도착	NNG
전주 여행	14	해서	XSV+EC
전주 여행	14	관광	NNG
전주 여행	14	이용	NNG
전주 여행	14	교통수단	NNG
전주 여행	14	어떤	MM
전주 여행	14	을까요	EC
전주 여행	14	숙소	NNG
전주 여행	14	추천	NNG
전주 여행	14	부탁드려요	VV+EF
전주 여행	14	서울	NNP
전주 여행	15	당일치기	NNG
전주 여행	15	어렵	VA
전주 여행	15	네요	EF
전주 여행	15	당일치기	NNG
전주 여행	15	계획	NNG
전주 여행	15	군요	EF
전주 여행	15	에서	JKB
전주 여행	15	한옥마을	NNP
전주 여행	15	까지	JX
전주 여행	15	방법	NNG
전주 여행	15	당일치기	NNG
전주 여행	15	코스	NNG
전주 여행	15	알려	VV+EC
전주 여행	15	드릴게요	VX+EC
전주 여행	15	에서	JKB
전주 여행	15	한옥마을	NNP
전주 여행	15	까지	JX
전주 여행	15	방법	NNG
전주 여행	15	으로	JKB
전주 여행	15	택시	NNG
전주 여행	15	버스	NNG
전주 여행	15	어요	EF
전주 여행	15	에서	JKB
전주 여행	15	한옥마을	NNP
전주 여행	15	까지	JX
전주 여행	15	택시	NNG
전주 여행	16	경비	NNG
전주 여행	16	보통	NNG
전주 여행	16	경비	NNG
전주 여행	16	얼마	NNG
전주 여행	16	정도	NNG
전주 여행	16	드나	VV
전주 여행	16	숙소	NNG
전주 여행	16	13	SN
전주 여행	16	인데	VCP+EC
전주 여행	16	려고	EC
전주 여행	16	비싼	VA+ETM
전주 여행	16	건가요	NNB+VCP+EC
전주 여행	16	질문	NNG
전주 여행	16	도움	NNG
전주 여행	16	답변	NNG
전주 여행	16	바래	VV
전주 여행	16	예산	NNG
전주 여행	16	30	SN
전주 여행	16	내외	NNG
전주 여행	16	숙소	NNG
전주 여행	16	13	SN
전주 여행	16	적당	XR
전주 여행	16	합니다	XSA+EC
전주 여행	17	커플	NNG
전주 여행	17	대해	VV+EC
전주 여행	17	도움	NNG
전주 여행	17	드릴게요	VV+EC
전주 여행	17	남자	NNG
전주 여행	17	친구	NNG
전주 여행	17	이용	NNG
전주 여행	17	할지	XSV+EC
전주 여행	17	KTX	SL
전주 여행	17	이용	NNG
전주 여행	17	할지	XSV+EC
전주 여행	17	대해서	VV+EC
전주 여행	17	여러	MM
전주 여행	17	가지	NNBC
전주 여행	17	요소	NNG
전주 여행	17	고려	NNG
전주 여행	17	셔야	EP+EC
전주 여행	17	합니다	VX+EF
전주 여행	17	만약	MAG
전주 여행	17	교통	NNG
전주 여행	17	체증	NNG
전주 여행	17	예상	NNG
전주 여행	17	날짜	NNG
전주 여행	17	라면	VCP+EC
전주 여행	17	KTX	SL
전주 여행	17	이용	NNG
전주 여행	17	편할	VA+ETM
전주 여행	17	습니다	EF
전주 여행	17	또한	MAJ
전주 여행	17	남자	NNG
전주 여행	17	친구	NNG
전주 여행	18	려는데	EC
전주 여행	18	여행지	NNG
전주 여행	18	맛집	NNG
전주 여행	18	추천	NNG
전주 여행	18	세요	EP+EF
전주 여행	18	보리암	NNP
전주 여행	18	다랭이	NNG
전주 여행	18	독일	NNP
전주 여행	18	마을	NNG
전주 여행	18	한옥마을	NNP
전주 여행	18	두세	MM
전주 여행	18	맛집	NNG
전주 여행	18	빨리	MAG
전주 여행	18	추천	NNG
전주 여행	18	세요	EP+EF
전주 여행	18	라서	EC
전주 여행	18	추천	NNG
전주 여행	18	셔도	EP+EC
전주 여행	18	됩니다	VV+EF
전주 여행	18	맛집	NNG
전주 여행	19	추천	NNG
전주 여행	19	맛집	NNG
전주 여행	19	국내	NNG
전주 여행	19	주달	NNG
전주 여행	19	티비	NNG
전주 여행	19	코스	NNG
전주 여행	19	여수	NNG
전주 여행	19	여수	NNG
전주 여행	19	제주	NNP
전주 여행	19	제주도	NNP
전주 여행	19	전문	NNG
전주 여행	19	언서	NNG
전주 여행	19	주달	NNG
전주 여행	19	봉이	NNG
전주 여행	19	입니다	VCP+EF
전주 여행	19	코스	NNG
전주 여행	19	한옥	NNG
전주 여행	19	마을	NNG
전주 여행	19	에서부터	JKB
전주 여행	20	코스	NNG
전주 여행	20	질문	NNG
전주 여행	20	코스	NNG
전주 여행	20	전라도	NNP
전주 여행	20	어서	EC
전주 여행	20	맛집	NNG
전주 여행	20	국내	NNG
전주 여행	20	주달	NNG
전주 여행	20	티비	NNG
전주 여행	20	코스	NNG
전주 여행	20	여수	NNG
전주 여행	20	여수	NNG
전주 여행	20	제주	NNP
전주 여행	20	제주도	NNP
전주 여행	20	전문	NNG
전주 여행	20	언서	NNG
전주 여행	21	간다면	VV+EC
전주 여행	21	비용	NNG
전주 여행	21	얼마	NNG
전주 여행	21	나올까요	VV+EF
전주 여행	21	비용	NNG
전주 여행	21	여러	MM
전주 여행	21	요소	NNG
전주 여행	21	따라	VV+EC
전주 여행	21	달라지	VV
전주 여행	21	지만	EC
전주 여행	21	일반	NNG
전주 여행	21	으로	JKB
전주 여행	21	다음	NNG
전주 여행	21	항목	NNG
전주 여행	21	포함	NNG
전주 여행	21	됩니다	XSV+EC
전주 여행	21	교통비	NNG
전주 여행	21	까지	JX
전주 여행	21	이동	NNG
전주 여행	21	위한	VV+ETM
전주 여행	21	교통	NNG
전주 여행	21	비용	NNG
전주 여행	21	입니다	VCP+EF
전주 여행	22	코스	NNG
전주 여행	22	맛집	NNG
전주 여행	22	국내	NNG
전주 여행	22	주달	NNG
전주 여행	22	티비	NNG
전주 여행	22	코스	NNG
전주 여행	22	여수	NNG
전주 여행	22	여수	NNG
전주 여행	22	제주	NNP
전주 여행	22	제주도	NNP
전주 여행	22	전문	NNG
전주 여행	22	언서	NNG
전주 여행	22	주달	NNG
전주 여행	22	봉이	NNG
전주 여행	22	입니다	VCP+EF
전주 여행	22	코스	NNG
전주 여행	22	한옥	NNG
전주 여행	22	마을	NNG
전주 여행	22	에서부터	JKB
전주 여행	22	시작	NNG
전주 여행	23	당일치기	NNG
전주 여행	23	혼자	NNG
전주 여행	23	코스	NNG
전주 여행	23	추천	NNG
전주 여행	23	박물관	NNG
전주 여행	23	미술관	NNG
전주 여행	23	지역	NNG
전주 여행	23	공간	NNG
전주 여행	23	스토리	NNG
전주 여행	23	안내	NNG
전주 여행	23	해설	NNG
전주 여행	23	문화	NNG
전주 여행	23	코스	NNG
전주 여행	23	방지	NNG
전주 여행	23	위해	VV+EC
전주 여행	23	예약금	NNG
전주 여행	23	결제	NNG
전주 여행	23	현장	NNG
전주 여행	23	에서	JKB
전주 여행	23	상당	NNG
전주 여행	23	음료	NNG
전주 여행	23	기프	NNP
전주 여행	23	으로	JKB
전주 여행	23	환급	NNG
전주 여행	23	선착순	NNG
전주 여행	23	마감	NNG
전주 여행	23	계획	NNG
전주 여행	23	으신	EP+ETM
전주 여행	24	필요	NNG
전주 여행	24	가요	NNG
전주 여행	24	안녕	NNG
전주 여행	24	세요	EP+EF
전주 여행	24	계획	NNG
전주 여행	24	입니다	VCP+EF
전주 여행	24	서울	NNP
전주 여행	24	에서	JKB
전주 여행	24	까지	JX
전주 여행	24	기차	NNG
전주 여행	24	건데	NNB+VCP+EC
전주 여행	24	에서	JKB
전주 여행	24	렌트	NNG
전주 여행	24	해야	VV+EC
전주 여행	24	할지	VX+EC
전주 여행	24	궁금	XR
전주 여행	24	합니다	XSA+EF
전주 여행	24	참고	NNG
전주 여행	24	한옥마을	NNP
전주 여행	24	포함	NNG
전주 여행	24	해서	XSV+EC
전주 여행	24	유명	NNG
전주 여행	24	관광지	NNG
전주 여행	24	돌아볼	VV+ETM
전주 여행	24	계획	NNG
전주 여행	24	입니다	VCP+EF
전주 여행	24	맛집	NNG
전주 여행	24	국내	NNG
전주 여행	25	맛집	NNG
전주 여행	25	국내	NNG
전주 여행	25	주달	NNG
전주 여행	25	티비	NNG
전주 여행	25	코스	NNG
전주 여행	25	여수	NNG
전주 여행	25	여수	NNG
전주 여행	25	제주	NNP
전주 여행	25	제주도	NNP
전주 여행	25	전문	NNG
전주 여행	25	언서	NNG
전주 여행	25	주달	NNG
전주 여행	25	봉이	NNG
전주 여행	25	입니다	VCP+EF
전주 여행	25	대중교통	NNG
전주 여행	25	이나	JC
전주 여행	25	택시	NNG
전주 여행	25	이용	NNG
전주 여행	26	완주	NNG
전주 여행	26	맛집	NNG
전주 여행	26	국내	NNG
전주 여행	26	주달	NNG
전주 여행	26	티비	NNG
전주 여행	26	코스	NNG
전주 여행	26	여수	NNG
전주 여행	26	여수	NNG
전주 여행	26	제주	NNP
전주 여행	26	제주도	NNP
전주 여행	26	전문	NNG
전주 여행	26	언서	NNG
전주 여행	26	주달	NNG
전주 여행	26	봉이	NNG
전주 여행	26	입니다	VCP+EF
전주 여행	26	완주	NNP
전주 여행	26	어느	MM
전주 여행	26	느냐	EC
전주 여행	26	따라	VV+EC
전주 여행	27	부탁	NNG
전주 여행	27	드립니다	VV+EC
전주 여행	27	맛집	NNG
전주 여행	27	국내	NNG
전주 여행	27	주달	NNG
전주 여행	27	티비	NNG
전주 여행	27	코스	NNG
전주 여행	27	여수	NNG
전주 여행	27	여수	NNG
전주 여행	27	제주	NNP
전주 여행	27	제주도	NNP
전주 여행	27	전문	NNG
전주 여행	27	언서	NNG
전주 여행	27	주달	NNG
전주 여행	27	봉이	NNG
전주 여행	27	입니다	VCP+EF
전주 여행	27	코스	NNG
전주 여행	28	코스	NNG
전주 여행	28	세요	EP+EF
전주 여행	28	ㅜㅜ	UNKNOWN
전주 여행	28	코스	NNG
전주 여행	28	드릴	VX+ETM
전주 여행	28	습니다	EF
전주 여행	28	역사	NNG
전주 여행	28	유적지	NNG
전주 여행	28	전통문화	NNG
전주 여행	28	빛나	VV
전주 여행	28	으로	JKB
전주 여행	28	유명	XR
전주 여행	28	한데요	XSA+EF
전주 여행	28	먼저	MAG
전주 여행	28	한옥마을	NNP
전주 여행	28	방문	NNG
전주 여행	28	아름다움	VA+ETN
전주 여행	28	느낄	VV+ETM
전주 여행	28	습니다	EF
전주 여행	28	시작	NNG
전주 여행	28	라고	EC
전주 여행	28	한옥	NNG
전주 여행	28	마을	NNG
전주 여행	28	에서	JKB
전주 여행	29	대중교통	NNG
전주 여행	29	이랑	JC
전주 여행	29	렌트카	NNG
전주 여행	29	어떤	MM
전주 여행	29	을까요	EF
전주 여행	29	움직이	VV
전주 여행	29	편할지	VA+EC
전주 여행	29	대중교통	NNG
전주 여행	29	편할지	VA+EC
전주 여행	29	알려	VV+EC
전주 여행	29	세요	EP+EF
전주 여행	29	교통	NNG
전주 여행	29	상황	NNG
전주 여행	29	어떤지	VA+EC
전주 여행	29	궁금	XR
전주 여행	29	합니다	XSA+EF
전주 여행	29	맛집	NNG
전주 여행	29	국내	NNG
전주 여행	29	주달	NNG
전주 여행	29	티비	NNG
전주 여행	29	코스	NNG
전주 여행	29	여수	NNG
전주 여행	29	여수	NNG
전주 여행	29	제주	NNP
전주 여행	30	가시	VV
전주 여행	30	는군요	EC
전주 여행	30	그렇	VA
전주 여행	30	다면	EC
전주 여행	30	에서	JKB
전주 여행	30	연인	NNG
전주 여행	30	제일	MAG
전주 여행	30	많이	MAG
전주 여행	30	추천	NNG
전주 여행	30	드리	VX
전주 여행	30	습니다	EF
전주 여행	30	한옥마을	NNP
전주 여행	30	동물원	NNP
전주 여행	30	한국도로공사	NNP
전주 여행	30	수목원	NNG
전주 여행	30	향교	NNP
전주 여행	30	덕진	NNP
전주 여행	30	공원	NNG
전주 여행	31	관련	NNG
전주 여행	31	맛집	NNG
전주 여행	31	국내	NNG
전주 여행	31	주달	NNG
전주 여행	31	티비	NNG
전주 여행	31	코스	NNG
전주 여행	31	여수	NNG
전주 여행	31	여수	NNG
전주 여행	31	제주	NNP
전주 여행	31	제주도	NNP
전주 여행	31	전문	NNG
전주 여행	31	언서	NNG
전주 여행	31	주달	NNG
전주 여행	31	봉이	NNG
전주 여행	31	입니다	VCP+EF
전주 여행	31	주말	NNG
전주 여행	31	인지	VCP+EC
전주 여행	31	평일	NNG
전주 여행	31	인지	VCP+EC
전주 여행	31	따라	VV+EC
전주 여행	31	다릅니다	VA+EC
전주 여행	32	려고	EC
전주 여행	32	vs	SL
전주 여행	32	어떤	MM
전주 여행	32	적당	XR
전주 여행	32	할지	XSA+EC
전주 여행	32	추천	NNG
전주 여행	32	세요	EP+EF
전주 여행	32	맛집	NNG
전주 여행	32	국내	NNG
전주 여행	32	주달	NNG
전주 여행	32	티비	NNG
전주 여행	32	코스	NNG
전주 여행	32	여수	NNG
전주 여행	32	여수	NNG
전주 여행	32	제주	NNP
전주 여행	32	제주도	NNP
전주 여행	32	전문	NNG
전주 여행	32	언서	NNG
전주 여행	32	주달	NNG
전주 여행	32	봉이	NNG
전주 여행	32	입니다	VCP+EC
전주 여행	33	이번	NNG
전주 여행	33	처음	MAG
전주 여행	33	는데	EC
전주 여행	33	추천	NNG
전주 여행	33	세요	EP+EF
전주 여행	33	은데	EC
전주 여행	33	위주	NNG
전주 여행	33	해요	VX+EF
전주 여행	33	트레	NNP
전주 여행	33	해요	VX+EF
전주 여행	33	계획	NNG
전주 여행	33	군요	EF
전주 여행	33	다양	XR
전주 여행	33	볼거리	NNG
전주 여행	34	경비	NNG
전주 여행	34	식비	NNG
전주 여행	34	교통비	NNG
전주 여행	34	잡혀서	VV+EC
전주 여행	34	마실	VV+ETM
전주 여행	34	건데	NNB+VCP+EC
전주 여행	34	많이	MAG
전주 여행	34	마셔서	VV+EC
전주 여행	34	술값	NNG
전주 여행	34	으로	JKB
전주 여행	34	마실	VV+ETM
전주 여행	34	아요	EF
전주 여행	34	맛집	NNG
전주 여행	34	국내	NNG
전주 여행	34	주달	NNG
전주 여행	34	티비	NNG
전주 여행	34	코스	NNG
전주 여행	34	여수	NNG
전주 여행	34	여수	NNG
전주 여행	35	비용	NNG
전주 여행	35	맛집	NNG
전주 여행	35	국내	NNG
전주 여행	35	주달	NNG
전주 여행	35	티비	NNG
전주 여행	35	코스	NNG
전주 여행	35	여수	NNG
전주 여행	35	여수	NNG
전주 여행	35	제주	NNP
전주 여행	35	제주도	NNP
전주 여행	35	전문	NNG
전주 여행	35	언서	NNG
전주 여행	35	주달	NNG
전주 여행	35	봉이	NNG
전주 여행	35	입니다	VCP+EF
전주 여행	35	한옥마을	NNP
전주 여행	35	입장료	NNG
전주 여행	35	따로	MAG
전주 여행	35	습니다	EF
전주 여행	35	기본	NNG
전주 여행	36	친구	NNG
전주 여행	36	친구	NNG
전주 여행	36	려고	EC
전주 여행	36	합니다	VX+EC
전주 여행	36	호텔	NNG
전주 여행	36	맛집	NNG
전주 여행	36	추천	NNG
전주 여행	36	세요	EP+EF
전주 여행	36	호텔	NNG
전주 여행	36	시설	NNG
전주 여행	36	괜찮	VA
전주 여행	36	깨끗	XR
전주 여행	36	했으면	XSA+EP+EC
전주 여행	36	어요	EF
전주 여행	36	한옥	NNP
전주 여행	36	어도	EC
전주 여행	36	괜찮	VA
전주 여행	36	아요	EF
전주 여행	36	침대	NNG
전주 여행	36	어요	EF
전주 여행	36	맛집	NNG
전주 여행	36	양식	NNG
전주 여행	36	중식	NNG
전주 여행	36	일식	NNG
전주 여행	36	상관없	VA
전주 여행	36	습니다	EF
전주 여행	36	비용	NNG
전주 여행	36	인당	NNG
전주 여행	37	크리스마스	NNG
전주 여행	37	맛집	NNG
전주 여행	37	국내	NNG
전주 여행	37	주달	NNG
전주 여행	37	티비	NNG
전주 여행	37	코스	NNG
전주 여행	37	여수	NNG
전주 여행	37	여수	NNG
전주 여행	37	제주	NNP
전주 여행	37	제주도	NNP
전주 여행	37	전문	NNG
전주 여행	37	언서	NNG
전주 여행	37	주달	NNG
전주 여행	37	봉이	NNG
전주 여행	37	입니다	VCP+EF
전주 여행	37	코스	NNG
전주 여행	37	한옥	NNG
전주 여행	37	마을	NNG
전주 여행	37	에서부터	JKB
전주 여행	37	시작	NNG
전주 여행	38	~.~	SY
전주 여행	38	질문	NNG
전주 여행	38	일정	NNG
전주 여행	38	관련	NNG
전주 여행	38	답변	NNG
전주 여행	38	드리	VV
전주 여행	38	도록	EC
전주 여행	38	습니다	EF
전주 여행	38	가실	NNG
전주 여행	38	계획	NNG
전주 여행	38	너무	MAG
전주 여행	38	귀찮	VA
전주 여행	38	에서	JKB
전주 여행	38	즐길	VV+ETM
전주 여행	38	준비	NNG
전주 여행	38	어요	EF
전주 여행	38	아래	NNG
전주 여행	38	일정	NNG
전주 여행	38	참고	NNG
전주 여행	38	즐거운	VA+ETM
전주 여행	38	바라	VV
전주 여행	39	초등	NNG
전주 여행	39	학년	NNG
전주 여행	39	210	SN
전주 여행	39	수학	NNG
전주 여행	39	코스	NNG
전주 여행	39	관광	NNG
전주 여행	39	달인	NNG
전주 여행	39	주달	NNG
전주 여행	39	봉이	NNG
전주 여행	39	께서	JKS
전주 여행	39	코스	NNG
전주 여행	39	추천	NNG
전주 여행	39	대단히	MAG
전주 여행	39	감사	NNG
전주 여행	39	드리	VV
전주 여행	39	습니다	EF
전주 여행	39	맛집	NNG
전주 여행	39	국내	NNG
전주 여행	39	주달	NNG
전주 여행	39	티비	NNG
전주 여행	39	코스	NNG
전주 여행	39	여수	NNG
